created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
2020-10-21 22:16:54,1.3190399866755768e+18,"@HELLuvvANGEL @ACLU Why cant they be thrown out if they r found to be outside the law?  Fast forward 4 months, and Im listening to @Obama talking about Trumps crazy tweeting and conspiracy theories!  My gawd, how low weve sunken w/ arsehole DT!  Miss Obama so much! #Biden #YangForDeptOfEducation",0.0,0.0,Twitter for iPhone,1025741330.0,Darlene Cullington,dacullington,"beach lover, mother of two wonderful sons and a patient hubby, dogs make my life fulfilled, (our cat just meows for food a lot), movies are a must!",2012-12-21 05:50:10,763.0,,,,,,,,,2020-10-27 18:30:26.355687
2020-10-15 17:29:49,1.316793414986408e+18,CDC demoralized after Trump White House forces line-by-line edits to official health guidance - #Biden #Harris #Trump #Pence #GOP #Republican #Democrat #Democrats #COVID19 #Covid #Coronavirus https://t.co/7eon7qZuBT,0.0,0.0,Twitter Web App,23954327.0,Hotpage News,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,2009-03-12 14:16:30,25761.0,United States,39.7837304,-100.4458825,,United States,North America,,,2020-10-21 01:36:42.254706294
2020-10-16 06:50:07,1.3169948164969144e+18,"Biden urges state, local leaders to mandate COVID-19 vaccine
#US #usa #Biden
#JoeBidenTownHall
 https://t.co/G73K1NUA86",2.0,1.0,Twitter for Android,8.529171979658936e+17,Shan Samachar,shansamachar,"Shan Samachar (News Paper) is accredited to Government of India.
https://t.co/csEG19YXad",2017-04-14 16:11:21,142.0,,,,,,,,,2020-10-21 03:19:12.489346782
2020-10-21 18:12:04,1.318978374325371e+18,@JoeBiden Therere those who are running with the misinformation that under #Bidens tax plan those making over 400k will pay 62% of their income. But this is not true yet some like 50cent are convinced of this irrespective of the facts. In fact if people https://t.co/QBc6NwYByP,0.0,0.0,Twitter for iPhone,193442023.0,Renaldo C. McKenzie,RenaldoMcKenzie,"Blogger, Post-Graduate at UPenn, 🇺🇸 🇯🇲 , ΦΒΣ Fraternity, Partner @ McKenzie & McKenzie Co. Tennis 5.0, Academic, Thinker, Leader, Theologian, Speaker",2010-09-21 20:42:08,183.0,"Manhattan, NY",40.7896239,-73.9598939,New York,United States of America,North America,New York,NY,2020-10-27 18:30:48.856843
2020-11-04 20:43:53,1.3240900116549878e+18,"Simple is that look at on both, who's roaring and who's in patience ?
One is the winner and another is #Bloody_Losser ...

#trump #election #Biden 
#Elections2020 
#TrumpVsBidenFight 
#TrumpvsBiden",0.0,0.0,Twitter for Android,3196044211.0,سلطنت عمرانیہ ⁦🇵🇰⁩💪,RajabZia,"‏My life's Goal To Unite The Muslim Ummah ...
زندگی کا صرف ایک ہی مقصد امت مسلمہ کو یکجا کرنا ۔۔۔♥🌷
‎#پښتون",2015-05-15 06:24:54,94.0,"Peshawar, Pakistan",34.012384600000004,71.5787458,Peshawar,Pakistan,Asia,Khyber Pakhtunkhwa,KP,2020-11-05 12:50:41.971163
2020-10-17 16:28:56,1.3175028669830554e+18,"""You'll know my position before the election"".

We are in the middle of an election and therefore shouldn't confirm ACB until after"".

Biden, wich is it?
#DonaldTrump #Biden #ACB #BidenTownHall #BidenTownHallOnABC #DonaldTrumpJr #FoxAndFriends",1.0,0.0,Twitter for Android,99428246.0,Rick Kitchens,ranger2279,,2009-12-26 04:50:16,22.0,Salt lake,,,,,,,,2020-10-21 05:54:02.310804250
2020-11-07 05:32:38,1.3249478517016123e+18,#AOC wants to put us on a list. I wonder why. Were the only thing stopping the #CCP from completely controlling the #UnitedStates if #JoeBiden gets sworn in. We need a miracle! Lets see if we get one  https://t.co/SHgW6HQqvM,200.0,125.0,Twitter for iPhone,377134569.0,Cat Namus,CatNamus,Think big! 👐🏻👐🏻G☝🏻👐🏻G👨‍👩‍👦‍👦! 🇺🇸 👁‍🗨’d 2x 3688 & 3689 😁,2011-09-21 02:28:00,20314.0,"Eden, WI",36.4884715,-79.7667026,,United States of America,North America,North Carolina,NC,2020-11-08 11:22:17.941777
2020-11-07 19:04:37,1.3251521933772595e+18,"@JulieEllerton @WhiteHouse @JoeBiden @KamalaHarris  !!! @JoeBiden &amp; @KamalaHarris  !!! Congratulations #PresidentBiden and #VicePresidentHarris  !!! #JoeBiden &amp; #KamalaHarris #JohnPierceIX !!!
 Jive Bunny and The Mastersmixers Megamix From The 50s !!! https://t.co/6yXr0wpQLk",0.0,0.0,Twitter Web App,18725925.0,JohnPierceIX,JohnPierceIX,"Actor Model VoiceOvers Influencer 647-717-6070 https://t.co/65LRkNfe9L https://t.co/x2PrnPbJTn https://t.co/1t84ziLVts https://t.co/DBc6Q44VMC https://t.co/c6LmDYEroN
https://t.co/ApBofYl3of",2009-01-07 16:00:02,36928.0,"Vancouver, B.C. Canada !!!",,,,,,,,2020-11-08 11:13:09.131203
2020-11-05 06:31:29,1.32423788316792e+18,"Donald #Trump and Joe #Biden each claim to be ahead in the US presidential election, even as the outcome https://t.co/f83kzD9oby #breaking #breakingnews #donaldtrump #joebiden",0.0,0.0,Revive Social App,2434070077.0,ReportersAtLarge,Reporters_Large,#Global #Breaking #News #Current #Event #Sports #Business #Tourism #OnlineNews,2014-04-08 18:38:55,1552.0,"Georgia, USA",41.6809707,44.02873820000001,,Georgia,Asia,,,2020-11-06 10:19:47.875047
2020-11-07 16:27:21,1.3251126163107308e+18,Im just gonna leave this right here in regards to #Election2020results and #ElectionDay  #Trump #Biden https://t.co/Shp8VqwVPA,0.0,0.0,Twitter for iPhone,1.200016820041855e+18,Blahtastrophe,mustang351sc,Yes you might no agree with me. It happens. We aren’t a world of clones. Don’t bring your spin to me. Bring your common sense and reasonable views. Im not a bot,2019-11-28 11:41:31,4.0,,,,,,,,,2020-11-08 11:35:55.779052
2020-10-27 03:50:23,1.320935852575314e+18,"@adamjohnsonNYC These guys want someone at the wheel (#Biden) who can continue the facade of America the good. If US rep is , alliances will fade &amp; the ability to spread democracy to places like #Bolivia &amp; #Chile (most recently) dries up. No more soft power by US for US #oligarchs.",0.0,0.0,Twitter for iPhone,60299658.0,Dems never cared about beating Trump,euroclyde,"Taking your mask off isn’t the same as a knight raising his visor to say, “I trust you & am comfortable.” Taking your mask off says, “I don’t care about you.”",2009-07-26 12:59:53,562.0,,,,,,,,,2020-10-28 14:37:08.137849
